1|04|00   -1 -1   -1
1|04|01   -1 -1   -1
1|04|02   -1 -1   -1
1|04|03   -1 -1   -1
1|04|04   -1 -1   -1
1|04|05   -1 -1   -1
1|04|06   -1 -1   -1
1|04|07   -1 -1   -1
1|04|08   -1 -1   -1
1|04|09   -1 -1   -1
1|04|10   -1 -1   -1
1|04|11   -1 -1   -1
1|04|12   -1 -1   -1
1|04|13   -1 -1   -1
1|04|14   -1 -1   -1
1|04|15   -1 -1   -1
1|04|16   -1 -1   -1
1|04|17   -1 -1   -1
1|04|18   -1 -1   -1
1|04|19   -1 -1   -1
1|04|20   -1 -1   -1
1|04|21   -1 -1   -1
1|04|22   -1 -1   -1
1|04|23   -1 -1   -1
1|04|24   -1 -1   -1
1|04|25   -1 -1   -1
1|04|26   -1 -1   -1
1|04|27   -1 -1   -1
1|04|28   -1 -1   -1
1|04|29   -1 -1   -1
1|04|30   -1 -1   -1
1|04|31   -1 -1   -1
1|04|32   -1 -1   -1
1|04|33   -1 -1   -1
1|04|34   -1 -1   -1
1|04|35   -1 -1   -1
1|04|36   -1 -1   -1
1|04|37   -1 -1   -1
1|04|38   -1 -1   -1
1|04|39   -1 -1   -1
1|04|40   -1 -1   -1
1|04|41   -1 -1   -1
1|04|42   -1 -1   -1
1|04|43   -1 -1   -1
1|04|44   -1 -1   -1
1|04|45   -1 -1   -1
1|04|46   -1 -1   -1
1|04|47   -1 -1   -1
1|04|48   -1 -1   -1
1|04|49   -1 -1   -1
1|04|50   -1 -1   -1
1|04|51   -1 -1   -1
1|04|52   -1 -1   -1
1|04|53   -1 -1   -1
1|04|54   -1 -1   -1
1|04|55   -1 -1   -1
1|04|56   -1 -1   -1
1|04|57   -1 -1   -1
1|04|58   -1 -1   -1
1|04|59   -1 -1   -1
1|04|60   -1 -1   -1
1|04|61   -1 -1   -1
1|04|62   -1 -1   -1
1|04|63   -1 -1   -1
1|05|00   -1 -1   -1
1|05|01   -1 -1   -1
1|05|02   -1 -1   -1
1|05|03   -1 -1   -1
1|05|04   -1 -1   -1
1|05|05   -1 -1   -1
1|05|06   -1 -1   -1
1|05|07   -1 -1   -1
1|05|08   -1 -1   -1
1|05|09   -1 -1   -1
1|05|10   -1 -1   -1
1|05|11   -1 -1   -1
1|05|12   -1 -1   -1
1|05|13   -1 -1   -1
1|05|14   -1 -1   -1
1|05|15   -1 -1   -1
1|05|16   -1 -1   -1
1|05|17   -1 -1   -1
1|05|18   -1 -1   -1
1|05|19   -1 -1   -1
1|05|20   -1 -1   -1
1|05|21   -1 -1   -1
1|05|22   -1 -1   -1
1|05|23   -1 -1   -1
1|05|24   -1 -1   -1
1|05|25   -1 -1   -1
1|05|26   -1 -1   -1
1|05|27   -1 -1   -1
1|05|28   -1 -1   -1
1|05|29   -1 -1   -1
1|05|30   -1 -1   -1
1|05|31   -1 -1   -1
1|05|32   -1 -1   -1
1|05|33   -1 -1   -1
1|05|34   -1 -1   -1
1|05|35   -1 -1   -1
1|05|36   -1 -1   -1
1|05|37   -1 -1   -1
1|05|38   -1 -1   -1
1|05|39   -1 -1   -1
1|05|40   -1 -1   -1
1|05|41   -1 -1   -1
1|05|42   -1 -1   -1
1|05|43   -1 -1   -1
1|05|44   -1 -1   -1
1|05|45   -1 -1   -1
1|05|46   -1 -1   -1
1|05|47   -1 -1   -1
1|05|48   -1 -1   -1
1|05|49   -1 -1   -1
1|05|50   -1 -1   -1
1|05|51   -1 -1   -1
1|05|52   -1 -1   -1
1|05|53   -1 -1   -1
1|05|54   -1 -1   -1
1|05|55   -1 -1   -1
1|05|56   -1 -1   -1
1|05|57   -1 -1   -1
1|05|58   -1 -1   -1
1|05|59   -1 -1   -1
1|05|60   -1 -1   -1
1|05|61   -1 -1   -1
1|05|62   -1 -1   -1
1|05|63   -1 -1   -1
1|06|00   -1 -1   -1
1|06|01   -1 -1   -1
1|06|02   -1 -1   -1
1|06|03   -1 -1   -1
1|06|04   -1 -1   -1
1|06|05   -1 -1   -1
1|06|06   -1 -1   -1
1|06|07   -1 -1   -1
1|06|08   -1 -1   -1
1|06|09   -1 -1   -1
1|06|10   -1 -1   -1
1|06|11   -1 -1   -1
1|06|12   -1 -1   -1
1|06|13   -1 -1   -1
1|06|14   -1 -1   -1
1|06|15   -1 -1   -1
1|06|16   -1 -1   -1
1|06|17   -1 -1   -1
1|06|18   -1 -1   -1
1|06|19   -1 -1   -1
1|06|20   -1 -1   -1
1|06|21   -1 -1   -1
1|06|22   -1 -1   -1
1|06|23   -1 -1   -1
1|06|24   -1 -1   -1
1|06|25   -1 -1   -1
1|06|26   -1 -1   -1
1|06|27   -1 -1   -1
1|06|28   -1 -1   -1
1|06|29   -1 -1   -1
1|06|30   -1 -1   -1
1|06|31   -1 -1   -1
1|06|32   -1 -1   -1
1|06|33   -1 -1   -1
1|06|34   -1 -1   -1
1|06|35   -1 -1   -1
1|06|36   -1 -1   -1
1|06|37   -1 -1   -1
1|06|38   -1 -1   -1
1|06|39   -1 -1   -1
1|06|40   -1 -1   -1
1|06|41   -1 -1   -1
1|06|42   -1 -1   -1
1|06|43   -1 -1   -1
1|06|44   -1 -1   -1
1|06|45   -1 -1   -1
1|06|46   -1 -1   -1
1|06|47   -1 -1   -1
1|06|48   -1 -1   -1
1|06|49   -1 -1   -1
1|06|50   -1 -1   -1
1|06|51   -1 -1   -1
1|06|52   -1 -1   -1
1|06|53   -1 -1   -1
1|06|54   -1 -1   -1
1|06|55   -1 -1   -1
1|06|56   -1 -1   -1
1|06|57   -1 -1   -1
1|06|58   -1 -1   -1
1|06|59   -1 -1   -1
1|06|60   -1 -1   -1
1|06|61   -1 -1   -1
1|06|62   -1 -1   -1
1|06|63   -1 -1   -1
1|07|00   -1 -1   -1
1|07|01   -1 -1   -1
1|07|02   -1 -1   -1
1|07|03   -1 -1   -1
1|07|04   -1 -1   -1
1|07|05   -1 -1   -1
1|07|06   -1 -1   -1
1|07|07   -1 -1   -1
1|07|08   -1 -1   -1
1|07|09   -1 -1   -1
1|07|10   -1 -1   -1
1|07|11   -1 -1   -1
1|07|12   -1 -1   -1
1|07|13   -1 -1   -1
